sample_1,sample_2,community_distance,ocean_distance_km,east_or_west_1,habitat_1,east_or_west_2,habitat_2,metric
S54,S37,0.942160064973462,172.4142135623731,east,seagrass,east,mangrove,unifrac
S55,S37,0.9499756799545463,172.4142135623731,east,seagrass,east,mangrove,unifrac
S56,S37,0.971794071893652,819.9919907732823,west,coral,east,mangrove,unifrac
S57,S37,0.9716174570164648,819.9919907732823,west,coral,east,mangrove,unifrac
S58,S37,0.9804051732607587,820.5777772109091,west,coral,east,mangrove,unifrac
S59,S37,0.979670773015837,819.5777772109091,west,coral,east,mangrove,unifrac
S60,S37,0.9685594908237665,819.9919907732823,west,coral,east,mangrove,unifrac
S61,S37,0.9634522504117409,809.9919907732824,west,mangrove,east,mangrove,unifrac
S62,S37,0.9696923090043731,809.9919907732824,west,mangrove,east,mangrove,unifrac
S63,S37,0.9604636252061103,808.9919907732824,west,mangrove,east,mangrove,unifrac
S64,S37,0.9654658152426812,809.4062043356554,west,mangrove,east,mangrove,unifrac
S65,S37,0.9658211323191417,808.9919907732824,west,mangrove,east,mangrove,unifrac
S66,S37,0.9397359985883827,797.6366517139551,west,seagrass,east,mangrove,unifrac
S67,S37,0.9578785469501392,797.6366517139551,west,seagrass,east,mangrove,unifrac
S68,S37,0.9629858925731104,797.6366517139551,west,seagrass,east,mangrove,unifrac
S69,S37,0.968131022424805,797.6366517139551,west,seagrass,east,mangrove,unifrac
S70,S37,0.9717089654457277,798.6366517139551,west,seagrass,east,mangrove,unifrac
S71,S37,0.9999999999999997,323.2964645562816,east,coral,east,mangrove,unifrac
S73,S37,0.979826090452767,323.2964645562816,east,coral,east,mangrove,unifrac
S74,S37,0.989198679323227,323.2964645562816,east,coral,east,mangrove,unifrac
S75,S37,0.9840638575770134,323.2964645562816,east,coral,east,mangrove,unifrac
S77,S37,0.9703445211610029,299.811183182043,east,coral,east,mangrove,unifrac
S78,S37,0.9481963575409135,299.811183182043,east,coral,east,mangrove,unifrac
S80,S37,0.9801594475107531,299.811183182043,east,coral,east,mangrove,unifrac
S81,S37,0.9622682092779766,294.1959594928933,east,mangrove,east,mangrove,unifrac
S82,S37,0.9668700697098931,294.1959594928933,east,mangrove,east,mangrove,unifrac
S83,S37,0.9663616756546282,294.1959594928933,east,mangrove,east,mangrove,unifrac
S84,S37,0.9669691648603326,294.1959594928933,east,mangrove,east,mangrove,unifrac
S85,S37,0.9557917921944307,294.1959594928933,east,mangrove,east,mangrove,unifrac
S86,S37,0.9526013629271798,883.0214280248045,west,mangrove,east,mangrove,unifrac
S87,S37,0.9607196910582427,883.0214280248045,west,mangrove,east,mangrove,unifrac
S88,S37,0.9625851773961229,883.4356415871778,west,mangrove,east,mangrove,unifrac
S89,S37,0.9497151633671331,883.4356415871778,west,mangrove,east,mangrove,unifrac
S90,S37,0.9441502832349107,883.4356415871778,west,mangrove,east,mangrove,unifrac
S91,S37,0.9719452235408189,899.364573775312,west,seagrass,east,mangrove,unifrac
S92,S37,0.9498948286556204,898.364573775312,west,seagrass,east,mangrove,unifrac
S93,S37,0.9592876017396522,898.364573775312,west,seagrass,east,mangrove,unifrac
S94,S37,0.9420740307726521,899.364573775312,west,seagrass,east,mangrove,unifrac
S95,S37,0.9656737139701768,899.364573775312,west,seagrass,east,mangrove,unifrac
S96,S37,0.9489411413466383,869.0458146424431,west,mangrove,east,mangrove,unifrac
S97,S37,0.9547150123239511,869.0458146424431,west,mangrove,east,mangrove,unifrac
S98,S37,0.9631013390844552,869.0458146424431,west,mangrove,east,mangrove,unifrac
S99,S37,0.967617897757041,869.0458146424431,west,mangrove,east,mangrove,unifrac
S100,S37,0.96212386306188,870.0458146424431,west,mangrove,east,mangrove,unifrac
S101,S37,0.9168100571553673,803.2884553295632,west,coral,east,mangrove,unifrac
S102,S37,0.9503380640697056,804.5310960166826,west,coral,east,mangrove,unifrac
S103,S37,0.8876132507464561,804.9453095790557,west,coral,east,mangrove,unifrac
S104,S37,0.967496647478283,806.5310960166825,west,coral,east,mangrove,unifrac
S105,S37,0.9372076559278548,804.7026688919364,west,coral,east,mangrove,unifrac
S106,S37,0.937853450132103,638.9087296525983,west,mangrove,east,mangrove,unifrac
S107,S37,0.9455183450774934,638.4945160902251,west,mangrove,east,mangrove,unifrac
S108,S37,0.9337612891967229,637.4945160902251,west,mangrove,east,mangrove,unifrac
S109,S37,0.9134183053765426,637.0803025278522,west,mangrove,east,mangrove,unifrac
S110,S37,0.9473680727307049,637.0803025278522,west,mangrove,east,mangrove,unifrac
S39,S38,0.6720119451796417,1.4142135623730951,east,mangrove,east,mangrove,unifrac
S40,S38,0.5453239622253877,2,east,mangrove,east,mangrove,unifrac
S41,S38,0.9277715263004678,109.07106781186548,east,coral,east,mangrove,unifrac
S42,S38,0.9585665216659058,108.65685424949237,east,coral,east,mangrove,unifrac
S43,S38,0.9601555942234825,108.65685424949237,east,coral,east,mangrove,unifrac
S44,S38,0.9625298180276484,109.65685424949237,east,coral,east,mangrove,unifrac
S45,S38,0.9620163522721938,108.65685424949237,east,coral,east,mangrove,unifrac
S46,S38,0.9197369155997146,108.07106781186548,east,mangrove,east,mangrove,unifrac
S47,S38,0.8478387063815633,108.07106781186548,east,mangrove,east,mangrove,unifrac
S48,S38,0.9315128915742555,108.07106781186548,east,mangrove,east,mangrove,unifrac
S49,S38,0.9058949944248672,109.07106781186548,east,mangrove,east,mangrove,unifrac
S50,S38,0.8957579965712961,109.07106781186548,east,mangrove,east,mangrove,unifrac
S51,S38,0.934070361942254,174.4142135623731,east,seagrass,east,mangrove,unifrac
S52,S38,0.9534741789364423,174.4142135623731,east,seagrass,east,mangrove,unifrac
S53,S38,0.9546657636339441,174.4142135623731,east,seagrass,east,mangrove,unifrac
S54,S38,0.943161029300809,173.4142135623731,east,seagrass,east,mangrove,unifrac
S55,S38,0.9504823277283123,173.4142135623731,east,seagrass,east,mangrove,unifrac
S56,S38,0.9651368704113359,820.9919907732823,west,coral,east,mangrove,unifrac
S57,S38,0.9646085566847523,820.9919907732823,west,coral,east,mangrove,unifrac
S58,S38,0.9740802995351692,821.5777772109091,west,coral,east,mangrove,unifrac
S59,S38,0.9753229161450638,820.5777772109091,west,coral,east,mangrove,unifrac
S60,S38,0.9616936366647181,820.9919907732823,west,coral,east,mangrove,unifrac
S61,S38,0.9530262382214786,810.9919907732824,west,mangrove,east,mangrove,unifrac
S62,S38,0.9653460668134725,810.9919907732824,west,mangrove,east,mangrove,unifrac
S63,S38,0.9497614777268253,809.9919907732824,west,mangrove,east,mangrove,unifrac
S64,S38,0.9560001613381057,810.4062043356554,west,mangrove,east,mangrove,unifrac
S65,S38,0.956444581105099,809.9919907732824,west,mangrove,east,mangrove,unifrac
S66,S38,0.9350033540823152,798.6366517139551,west,seagrass,east,mangrove,unifrac
S67,S38,0.9465504401959864,798.6366517139551,west,seagrass,east,mangrove,unifrac
S68,S38,0.9529030531629464,798.6366517139551,west,seagrass,east,mangrove,unifrac
S69,S38,0.9593378508671798,798.6366517139551,west,seagrass,east,mangrove,unifrac
S70,S38,0.9605258733733251,799.6366517139551,west,seagrass,east,mangrove,unifrac
