model,sample_name,group,dispersion
protected_area,S59,N,0.5015231507954098
protected_area,S60,N,0.48115057656889315
protected_area,S61,N,0.38983663175489097
protected_area,S62,N,0.4384212701541099
protected_area,S63,N,0.41337447735265387
protected_area,S64,N,0.39946781580298374
protected_area,S65,N,0.3985658496007126
protected_area,S66,N,0.4738891229534978
protected_area,S67,N,0.4093419824283242
protected_area,S68,N,0.4223591070867378
protected_area,S69,N,0.47192029474896635
protected_area,S70,N,0.4797937929301238
protected_area,S71,Y,0.7427913469230091
protected_area,S73,Y,0.7810151846094612
protected_area,S74,Y,0.6402820700972046
protected_area,S75,Y,0.6287475305585661
protected_area,S77,N,0.6495813294916167
protected_area,S78,N,0.5921384152336062
protected_area,S80,N,0.7367891459779718
protected_area,S81,N,0.4697254920694192
protected_area,S82,N,0.5286305574682043
protected_area,S83,N,0.498344409253213
protected_area,S84,N,0.4873902526607923
protected_area,S85,N,0.5052653150010752
protected_area,S86,N,0.46907039326538985
protected_area,S87,N,0.502625491391469
protected_area,S88,N,0.5895784024961164
protected_area,S89,N,0.6241793021294232
protected_area,S90,N,0.6669589351474918
protected_area,S91,N,0.4239836197493291
protected_area,S92,N,0.4010256384559303
protected_area,S93,N,0.49368713889608884
protected_area,S94,N,0.5776864101214184
protected_area,S95,N,0.4427946760695337
protected_area,S96,N,0.5606209813702133
protected_area,S97,N,0.5252915915871444
protected_area,S98,N,0.5341583885164168
protected_area,S99,N,0.5382233500140241
protected_area,S100,N,0.5460354050986317
protected_area,S101,N,0.6405871653784092
protected_area,S102,N,0.6804607054827169
protected_area,S103,N,0.6869657278096789
protected_area,S104,N,0.6361514801515649
protected_area,S105,N,0.6275651341928133
protected_area,S106,N,0.4394205123763976
protected_area,S107,N,0.4790717567970308
protected_area,S108,N,0.5058105533212933
protected_area,S109,N,0.537324761798779
protected_area,S110,N,0.5384107012402984
