sample_1,sample_2,distance,pair_id,original_sample_id_1,habitat_1,coast_1,site_1,latitude_1,longitude_1,original_sample_id_2,habitat_2,coast_2,site_2,latitude_2,longitude_2,same_habitat,same_coast,same_site,pair_category
S1,S93,0.6582905825676583,S1__S93,1,Mangrove,West,Man_Kukup,1.334569,103.430838,93,Seagrass,West,SeG_Pulau_Kezambo,5.365017,100.326968,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S94,0.7566182859626037,S1__S94,1,Mangrove,West,Man_Kukup,1.334569,103.430838,94,Seagrass,West,SeG_Pulau_Kezambo,5.36303,100.327461,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S95,0.6122670944010765,S1__S95,1,Mangrove,West,Man_Kukup,1.334569,103.430838,95,Seagrass,West,SeG_Pulau_Kezambo,5.361535,100.325841,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S96,0.7633832848781676,S1__S96,1,Mangrove,West,Man_Kukup,1.334569,103.430838,96,Mangrove,West,Man_Kuala_Sepetang,4.78359,100.607457,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S97,0.7055665873452778,S1__S97,1,Mangrove,West,Man_Kukup,1.334569,103.430838,97,Mangrove,West,Man_Kuala_Sepetang,4.787012,100.612692,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S98,0.7281992286389434,S1__S98,1,Mangrove,West,Man_Kukup,1.334569,103.430838,98,Mangrove,West,Man_Kuala_Sepetang,4.788979,100.618615,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S99,0.7337931161707482,S1__S99,1,Mangrove,West,Man_Kukup,1.334569,103.430838,99,Mangrove,West,Man_Kuala_Sepetang,4.791801,100.624022,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S100,0.7519376512127445,S1__S100,1,Mangrove,West,Man_Kukup,1.334569,103.430838,100,Mangrove,West,Man_Kuala_Sepetang,4.797275,100.62634,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S101,0.8416814342301872,S1__S101,1,Mangrove,West,Man_Kukup,1.334569,103.430838,101,Coral,West,Cor_Pulau_Pangkor,4.190014,100.572274,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S102,0.8864857627363919,S1__S102,1,Mangrove,West,Man_Kukup,1.334569,103.430838,102,Coral,West,Cor_Pulau_Pangkor,4.187189,100.543949,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S103,0.8833582091669617,S1__S103,1,Mangrove,West,Man_Kukup,1.334569,103.430838,103,Coral,West,Cor_Pulau_Pangkor,4.192025,100.537855,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S104,0.8499444314359472,S1__S104,1,Mangrove,West,Man_Kukup,1.334569,103.430838,104,Coral,West,Cor_Pulau_Pangkor,4.203476,100.545476,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S105,0.8361846459797933,S1__S105,1,Mangrove,West,Man_Kukup,1.334569,103.430838,105,Coral,West,Cor_Pulau_Pangkor,4.194839,100.559803,FALSE,TRUE,FALSE,Different habitat / same coast
S1,S106,0.5863747611528698,S1__S106,1,Mangrove,West,Man_Kukup,1.334569,103.430838,106,Mangrove,West,Man_Pulau_Ketam,3.024487,101.320359,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S107,0.6696372092296885,S1__S107,1,Mangrove,West,Man_Kukup,1.334569,103.430838,107,Mangrove,West,Man_Pulau_Ketam,3.021921,101.326184,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S108,0.6720838968397033,S1__S108,1,Mangrove,West,Man_Kukup,1.334569,103.430838,108,Mangrove,West,Man_Pulau_Ketam,3.014735,101.325529,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S109,0.7270368848786692,S1__S109,1,Mangrove,West,Man_Kukup,1.334569,103.430838,109,Mangrove,West,Man_Pulau_Ketam,3.016972,101.333548,TRUE,TRUE,FALSE,Same habitat / same coast
S1,S110,0.6954920382915989,S1__S110,1,Mangrove,West,Man_Kukup,1.334569,103.430838,110,Mangrove,West,Man_Pulau_Ketam,3.01341,101.336968,TRUE,TRUE,FALSE,Same habitat / same coast
S2,S3,0.39667017638604357,S2__S3,2,Mangrove,West,Man_Kukup,1.339308,103.417687,3,Mangrove,West,Man_Kukup,1.32334,103.417405,TRUE,TRUE,TRUE,Same habitat / same coast
S2,S4,0.359771536891702,S2__S4,2,Mangrove,West,Man_Kukup,1.339308,103.417687,4,Mangrove,West,Man_Kukup,1.307934,103.419101,TRUE,TRUE,TRUE,Same habitat / same coast
S2,S5,0.40218274998029135,S2__S5,2,Mangrove,West,Man_Kukup,1.339308,103.417687,5,Mangrove,West,Man_Kukup,1.31334,103.437827,TRUE,TRUE,TRUE,Same habitat / same coast
S2,S6,0.9305031818592973,S2__S6,2,Mangrove,West,Man_Kukup,1.339308,103.417687,6,Mangrove,West,Man_Batu_Pahat,1.814848,102.886778,TRUE,TRUE,FALSE,Same habitat / same coast
S2,S7,0.9406279829546624,S2__S7,2,Mangrove,West,Man_Kukup,1.339308,103.417687,7,Mangrove,West,Man_Batu_Pahat,1.819224,102.890102,TRUE,TRUE,FALSE,Same habitat / same coast
S2,S8,0.8362017185310961,S2__S8,2,Mangrove,West,Man_Kukup,1.339308,103.417687,8,Mangrove,West,Man_Batu_Pahat,1.813331,102.893828,TRUE,TRUE,FALSE,Same habitat / same coast
S2,S9,0.8860448186644347,S2__S9,2,Mangrove,West,Man_Kukup,1.339308,103.417687,9,Mangrove,West,Man_Batu_Pahat,1.817167,102.892885,TRUE,TRUE,FALSE,Same habitat / same coast
S2,S10,0.9290851575128787,S10__S2,2,Mangrove,West,Man_Kukup,1.339308,103.417687,10,Mangrove,West,Man_Batu_Pahat,1.822633,102.895415,TRUE,TRUE,FALSE,Same habitat / same coast
